"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STATEFIP","COUNTYFIP","STRATA","GQ","PERNUM","PERWT","SEX","AGE","BPL","BPLD","CITIZEN","YRNATUR","YRSUSA1","OCC","INCTOT","INCWAGE","category"
2020,202001,814258,2020010029951,51,2020008142581,39,0,280039,3,1,51,1,30,524,52400,2,2018,11,20,0,0,"Management, Business and Financial Operations"
2020,202001,814369,2020010032511,55,2020008143691,39,35,90839,4,1,55,1,20,200,20000,2,2018,19,4110,2000,2000,"Service Occupations"
2020,202001,814504,2020010036073,27,2020008145041,39,57,470039,4,1,27,1,21,515,51500,2,2017,8,3645,19000,19000,"Service Occupations"
2020,202001,815839,2020010070782,52,2020008158391,39,0,280039,3,1,52,1,30,524,52400,2,2018,11,20,0,0,"Management, Business and Financial Operations"
2020,202001,818745,2020010143663,6,2020008187451,39,35,90939,4,1,6,1,20,200,20000,2,2018,19,4110,2000,2000,"Service Occupations"
2020,202001,819095,2020010152052,28,2020008190951,39,0,280039,3,1,28,1,30,524,52400,2,2018,11,20,0,0,"Management, Business and Financial Operations"
2020,202001,820124,2020010178941,47,2020008201241,39,0,420039,3,1,47,1,31,524,52400,2,2017,12,20,0,0,"Management, Business and Financial Operations"
2020,202001,820357,2020010184966,44,2020008203571,39,29,340039,3,1,44,1,28,599,59900,2,2019,4,6260,12500,0,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,820387,2020010185714,87,2020008203871,39,57,470039,4,1,87,1,21,515,51500,2,2017,8,3645,19000,19000,"Service Occupations"
2020,202001,820573,2020000004303,139,2020008205731,39,61,550339,1,1,139,2,62,600,60099,2,2018,48,5160,45000,0,"Office and Administrative Support Occupations:"
2020,202001,820581,2020000004464,127,2020008205811,39,165,530139,1,2,102,1,66,434,43400,2,2019,27,1006,162110,162000,"Computer and Mathematical Occupations"
2020,202001,820701,2020000007672,163,2020008207011,39,165,530139,1,2,168,1,26,150,15000,2,2019,22,1007,130000,130000,"Computer and Mathematical Occupations"
2020,202001,820722,2020000008066,63,2020008207221,39,61,550239,1,2,69,2,52,518,51800,2,2017,8,4521,35000,35000,"Service Occupations"
2020,202001,820722,2020000008066,63,2020008207221,39,61,550239,1,3,66,1,24,518,51800,2,2019,8,4110,0,0,"Service Occupations"
2020,202001,820738,2020000008491,292,2020008207381,39,93,80239,1,2,277,1,51,300,30040,2,2019,6,1108,114000,90000,"Computer and Mathematical Occupations"
2020,202001,820834,2020000010984,73,2020008208341,39,0,20039,1,1,73,2,73,300,30020,2,2019,39,0,17300,0,NA
2020,202001,820878,2020000012461,79,2020008208781,39,113,460439,1,2,100,2,57,515,51500,2,2018,6,8990,15000,15000,"Production, Transportation, and Material Moving Occupations"
2020,202001,821145,2020000020252,138,2020008211451,39,49,410939,1,2,134,1,30,300,30015,2,2019,12,1021,266000,240000,"Computer and Mathematical Occupations"
2020,202001,821185,2020000021191,141,2020008211851,39,49,410139,1,2,158,2,39,210,21070,2,2020,11,4230,0,0,"Service Occupations"
2020,202001,821239,2020000022860,161,2020008212391,39,49,410139,1,1,161,1,49,600,60065,2,2019,7,9620,22000,22000,"Production, Transportation, and Material Moving Occupations"
2020,202001,821333,2020000025473,583,2020008213331,39,49,410839,1,2,418,2,46,600,60044,2,2018,11,4230,22300,20000,"Service Occupations"
2020,202001,821632,2020000033338,107,2020008216321,39,49,411039,1,1,107,1,35,600,60053,2,2019,14,9130,30000,30000,"Production, Transportation, and Material Moving Occupations"
2020,202001,821661,2020000034232,70,2020008216611,39,49,410439,1,2,80,1,48,465,46500,2,2016,16,1650,40800,29000,"Computer and Mathematical Occupations"
2020,202001,821770,2020000037649,334,2020008217701,39,165,530239,1,2,285,2,30,521,52100,2,2017,6,5120,33000,33000,"Office and Administrative Support Occupations:"
2020,202001,822039,2020000044827,118,2020008220391,39,0,110039,1,1,118,2,53,300,30050,2,2018,13,8100,12700,12700,"Production, Transportation, and Material Moving Occupations"
2020,202001,822039,2020000044827,118,2020008220391,39,0,110039,1,2,172,2,14,300,30050,2,2018,13,0,9999999,999999,NA
2020,202001,822367,2020000055011,366,2020008223671,39,0,150039,1,1,366,1,47,260,26030,2,2020,6,3870,32000,32000,"Service Occupations"
2020,202001,822967,2020000071120,96,2020008229671,39,35,90639,1,1,96,1,38,600,60079,2,2016,10,9600,35000,23400,"Production, Transportation, and Material Moving Occupations"
2020,202001,822967,2020000071120,96,2020008229671,39,35,90639,1,2,121,2,31,600,60079,2,2017,10,8800,5000,0,"Production, Transportation, and Material Moving Occupations"
2020,202001,822967,2020000071120,96,2020008229671,39,35,90639,1,3,101,2,12,600,60054,2,2016,10,0,9999999,999999,NA
2020,202001,823017,2020000072871,505,2020008230171,39,41,400039,1,2,654,1,20,600,60024,2,2017,5,350,32000,32000,"Management, Business and Financial Operations"
2020,202001,823078,2020000074671,101,2020008230781,39,153,180439,1,1,101,1,34,521,52120,2,2019,6,4850,75000,75000,"Sales and Related Occupations:"
2020,202001,823078,2020000074671,101,2020008230781,39,153,180439,1,2,88,2,33,521,52120,2,2019,6,3602,14800,14800,"Service Occupations"
2020,202001,823078,2020000074671,101,2020008230781,39,153,180439,1,4,96,2,29,521,52120,2,2019,6,3601,18800,9500,"Service Occupations"
2020,202001,823202,2020000077946,90,2020008232021,39,49,410639,1,4,106,2,53,521,52120,2,2018,11,4220,14000,14000,"Service Occupations"
2020,202001,823202,2020000077946,90,2020008232021,39,49,410639,1,5,88,1,52,521,52120,2,2018,11,4220,20000,20000,"Service Occupations"
2020,202001,823280,2020000079677,172,2020008232801,39,17,540139,1,2,159,2,24,600,60014,2,2019,4,0,0,0,NA
2020,202001,823545,2020000087044,21,2020008235451,39,0,260039,1,1,21,1,47,410,41000,2,2018,26,4920,31820,0,"Sales and Related Occupations:"
2020,202001,823564,2020000087555,121,2020008235641,39,35,90639,1,1,121,2,71,600,60031,2,2018,6,0,6500,0,NA
2020,202001,823854,2020000094827,59,2020008238541,39,35,90939,1,2,58,1,64,434,43400,2,2019,52,6520,48700,48000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,824115,2020000101424,164,2020008241151,39,93,80239,1,4,193,2,11,210,21040,2,2017,5,0,9999999,999999,NA
2020,202001,824115,2020000101424,164,2020008241151,39,93,80239,1,5,164,1,10,210,21040,2,2019,8,0,9999999,999999,NA
2020,202001,824177,2020000102996,179,2020008241771,39,49,410339,1,2,157,2,33,500,50000,2,2018,9,2861,18000,18000,"Education, Legal, Community Service, Arts, and Media Occupations"
2020,202001,824204,2020000103715,610,2020008242041,39,49,410839,1,4,634,1,61,600,60038,2,2018,26,7750,45000,45000,"Production, Transportation, and Material Moving Occupations"
2020,202001,824204,2020000103715,610,2020008242041,39,49,410839,1,5,631,1,58,600,60038,2,2019,20,7750,40000,40000,"Production, Transportation, and Material Moving Occupations"
2020,202001,824259,2020000105443,88,2020008242591,39,45,390039,1,3,114,2,32,210,21070,2,2018,12,120,45000,45000,"Management, Business and Financial Operations"
2020,202001,824356,2020000107836,112,2020008243561,39,61,550339,1,1,112,2,42,600,60023,2,2016,15,3255,70000,70000,"Healthcare Practitioners and Technical Occupations"
2020,202001,824628,2020000115412,39,2020008246281,39,0,330039,1,2,35,2,62,452,45212,2,2017,8,0,0,0,NA
2020,202001,824780,2020000119972,90,2020008247801,39,41,400039,1,1,90,2,39,521,52140,2,2016,14,1021,125000,125000,"Computer and Mathematical Occupations"
2020,202001,824780,2020000119972,90,2020008247801,39,41,400039,1,2,85,2,16,521,52140,2,2016,14,0,0,0,NA
2020,202001,824869,2020000122263,192,2020008248691,39,61,550239,1,1,192,1,21,210,21040,2,2017,3,6230,22000,22000,"Natural Resources, Construction, and Maintenance Occupations"
2020,202001,824975,2020000125419,118,2020008249751,39,113,460139,1,3,119,2,51,532,53200,2,2019,6,0,7500,0,NA
2020,202001,824980,2020000125568,92,2020008249801,39,165,530239,1,2,110,1,64,502,50200,2,2016,44,750,70000,70000,"Management, Business and Financial Operations"
2020,202001,825215,2020000132410,165,2020008252151,39,49,410639,1,2,184,2,33,521,52140,2,2016,6,0,0,0,NA
2020,202001,825514,2020000139941,126,2020008255141,39,153,180339,1,1,126,2,22,517,51700,2,2017,14,5400,6300,6300,"Office and Administrative Support Occupations:"
2020,202001,825586,2020000141743,659,2020008255861,39,49,410439,1,3,603,2,61,434,43400,2,2020,45,0,9700,0,NA
2020,202001,825713,2020000145537,408,2020008257131,39,49,410639,1,1,408,2,26,600,60045,2,2017,14,9620,310,310,"Production, Transportation, and Material Moving Occupations"
2020,202001,825985,2020000153185,139,2020008259851,39,17,540139,1,1,139,1,54,600,60044,2,2019,7,7700,53000,47000,"Production, Transportation, and Material Moving Occupations"
2020,202001,825985,2020000153185,139,2020008259851,39,17,540139,1,2,145,2,52,600,60044,2,2019,7,8740,33300,30000,"Production, Transportation, and Material Moving Occupations"
2020,202001,825985,2020000153185,139,2020008259851,39,17,540139,1,3,179,2,16,600,60044,2,2019,7,0,0,0,NA
2020,202001,825985,2020000153185,139,2020008259851,39,17,540139,1,4,151,1,15,600,60044,2,2019,7,0,0,999999,NA
2020,202001,825986,2020000153293,90,2020008259861,39,49,410439,1,1,90,1,24,500,50000,2,2017,3,0,0,0,NA
2020,202001,826233,2020000160187,247,2020008262331,39,49,411139,1,1,247,1,28,600,60024,2,2019,14,8225,27000,27000,"Production, Transportation, and Material Moving Occupations"
2020,202001,826325,2020000163044,119,2020008263251,39,61,550539,1,1,119,2,45,456,45600,2,2017,20,4200,50000,0,"Service Occupations"
2020,202001,826829,2020000176135,115,2020008268291,39,35,90439,1,2,113,2,31,600,60012,2,2016,7,4220,1200,0,"Service Occupations"
2020,202001,826839,2020000176376,151,2020008268391,39,61,550239,1,1,151,1,41,521,52120,2,2018,16,3602,14000,14000,"Service Occupations"
2020,202001,827046,2020000182131,156,2020008270461,39,41,400039,1,3,149,2,16,521,52140,2,2016,14,0,0,0,NA
2020,202001,827433,2020000192149,69,2020008274331,39,0,450039,1,3,96,1,26,600,60075,2,2016,13,7750,19000,19000,"Production, Transportation, and Material Moving Occupations"
2020,202001,827478,2020000193624,237,2020008274781,39,17,540239,1,1,237,2,50,434,43400,2,2019,9,8800,15600,15600,"Production, Transportation, and Material Moving Occupations"
2020,202001,827478,2020000193624,237,2020008274781,39,17,540239,1,2,208,1,55,434,43400,2,2019,9,0,0,0,NA
2020,202001,827478,2020000193624,237,2020008274781,39,17,540239,1,3,219,2,13,434,43400,2,2019,9,0,9999999,999999,NA
2020,202001,827747,2020000201359,64,2020008277471,39,153,180239,1,2,83,2,45,543,54300,2,2017,20,530,135000,135000,"Management, Business and Financial Operations"
2020,202001,827795,2020000202741,70,2020008277951,39,41,400039,1,1,70,1,33,438,43800,2,2019,6,1410,75000,75000,"Computer and Mathematical Occupations"
2020,202001,828189,2020000212923,66,2020008281891,39,0,450039,1,1,66,2,45,457,45720,2,2018,17,3602,25000,25000,"Service Occupations"
2020,202001,828285,2020000215206,73,2020008282851,39,35,90639,1,2,89,2,23,500,50000,2,2017,10,5120,40000,40000,"Office and Administrative Support Occupations:"
2020,202001,828403,2020000218259,93,2020008284031,39,49,410639,1,2,71,2,53,260,26010,2,2017,27,5110,0,0,"Office and Administrative Support Occupations:"
2020,202001,828584,2020000223335,392,2020008285841,39,35,90339,1,2,409,1,58,521,52100,2,2017,9,1050,85000,85000,"Computer and Mathematical Occupations"
2020,202001,828628,2020000224900,57,2020008286281,39,35,90539,1,3,63,2,42,456,45600,2,2017,17,4700,9000,0,"Sales and Related Occupations:"
2020,202001,828713,2020000226939,105,2020008287131,39,41,400039,1,1,105,1,45,521,52100,2,2017,16,1021,101600,101000,"Computer and Mathematical Occupations"
